Sample_ID,Latitude,Longitude,pH,Fe,Mn,Zn,Cu,Cr,Cd,Pb,As,Hg,Ni,Collection_Date,Location
SAMPLE001,28.6139,77.2090,7.2,0.25,0.08,2.5,0.04,0.03,0.002,0.008,0.009,0.004,0.05,2025-10-05,New Delhi
SAMPLE002,28.5355,77.3910,6.8,0.45,0.12,3.2,0.06,0.048,0.0025,0.012,0.011,0.005,0.065,2025-10-05,Noida
SAMPLE003,28.4595,77.0266,7.5,0.15,0.05,1.8,0.03,0.025,0.0015,0.006,0.007,0.003,0.04,2025-10-05,Gurugram
SAMPLE004,28.7041,77.1025,8.2,0.55,0.15,4.5,0.08,0.055,0.004,0.015,0.013,0.007,0.08,2025-10-04,Delhi North
SAMPLE005,28.5244,77.1855,7.0,0.35,0.10,2.8,0.05,0.04,0.003,0.01,0.01,0.005,0.06,2025-10-04,South Delhi
SAMPLE006,28.9845,77.7064,6.5,0.65,0.18,5.2,0.10,0.065,0.005,0.018,0.015,0.008,0.09,2025-10-03,Meerut
SAMPLE007,28.3670,77.3178,7.8,0.20,0.06,2.0,0.035,0.028,0.0018,0.007,0.008,0.0035,0.045,2025-10-03,Faridabad
SAMPLE008,28.8386,77.1458,7.3,0.40,0.11,3.5,0.07,0.045,0.0028,0.011,0.012,0.006,0.07,2025-10-02,Rohini
SAMPLE009,28.6692,77.4538,6.9,0.50,0.14,4.0,0.09,0.052,0.0035,0.014,0.014,0.0065,0.075,2025-10-02,Ghaziabad
SAMPLE010,28.5665,77.3210,7.6,0.30,0.09,2.6,0.045,0.035,0.0022,0.009,0.0095,0.0045,0.055,2025-10-01,East Delhi
SAMPLE011,26.8467,80.9462,7.1,0.38,0.10,3.0,0.055,0.042,0.0027,0.0105,0.0105,0.0052,0.062,2025-09-30,Lucknow
SAMPLE012,25.5941,85.1376,6.7,0.48,0.13,3.8,0.075,0.05,0.0032,0.013,0.0125,0.0058,0.072,2025-09-30,Patna
SAMPLE013,22.5726,88.3639,7.4,0.32,0.095,2.7,0.048,0.038,0.0024,0.0095,0.010,0.0048,0.058,2025-09-29,Kolkata
SAMPLE014,19.0760,72.8777,7.7,0.28,0.085,2.4,0.042,0.032,0.0020,0.0085,0.0088,0.0042,0.052,2025-09-29,Mumbai
SAMPLE015,13.0827,80.2707,7.9,0.22,0.07,2.2,0.038,0.030,0.0017,0.0075,0.0082,0.0038,0.048,2025-09-28,Chennai
SAMPLE016,12.9716,77.5946,8.0,0.18,0.055,1.9,0.032,0.027,0.0016,0.0065,0.0075,0.0032,0.042,2025-09-28,Bangalore
SAMPLE017,17.3850,78.4867,7.5,0.42,0.115,3.3,0.065,0.047,0.0029,0.0115,0.0115,0.0055,0.068,2025-09-27,Hyderabad
SAMPLE018,23.0225,72.5714,7.2,0.36,0.105,2.9,0.052,0.040,0.0026,0.0102,0.0102,0.0050,0.060,2025-09-27,Ahmedabad
SAMPLE019,21.1702,72.8311,6.8,0.52,0.145,4.2,0.085,0.058,0.0038,0.016,0.0138,0.0068,0.078,2025-09-26,Surat
SAMPLE020,26.9124,75.7873,7.3,0.34,0.098,2.85,0.050,0.039,0.0025,0.0098,0.0098,0.0049,0.059,2025-09-26,Jaipur
